test,train,cost,test_file,train_file
eat,eat,0.004710432385796901,eat1.wav,eat1.wav
eat,eat,0.002951926376791647,eat1.wav,eat10.wav
eat,eat,0.002951274152903392,eat1.wav,eat11.wav
eat,eat,0.0027361097188274936,eat1.wav,eat12.wav
eat,eat,0.0030126933805715446,eat1.wav,eat13.wav
eat,eat,0.0044580415104235735,eat1.wav,eat14.wav
eat,eat,0.002782547654976531,eat1.wav,eat15.wav
eat,eat,0.0022416567347858965,eat1.wav,eat16.wav
eat,eat,0.0023489150807807276,eat1.wav,eat17.wav
eat,eat,0.0031673580408799642,eat1.wav,eat18.wav
eat,eat,0.0027548939384397686,eat1.wav,eat19.wav
eat,eat,0.004074623912944456,eat1.wav,eat2.wav
eat,eat,0.002439581668693703,eat1.wav,eat20.wav
eat,eat,0.002108872871127252,eat1.wav,eat3.wav
eat,eat,0.004831430597171317,eat1.wav,eat4.wav
eat,eat,0.0025130671101394725,eat1.wav,eat5.wav
eat,eat,0.003350091813208475,eat1.wav,eat6.wav
eat,eat,0.004673764618759588,eat1.wav,eat7.wav
eat,eat,0.003106217300420417,eat1.wav,eat8.wav
eat,eat,0.003267470610887832,eat1.wav,eat9.wav
eat,fetch,0.009734072578951395,eat1.wav,fetch1.wav
eat,fetch,0.012254667784385439,eat1.wav,fetch10.wav
eat,fetch,0.011921863485591013,eat1.wav,fetch11.wav
eat,fetch,0.012630775079370417,eat1.wav,fetch12.wav
eat,fetch,0.013234108817722117,eat1.wav,fetch13.wav
eat,fetch,0.010889284248309728,eat1.wav,fetch14.wav
eat,fetch,0.012978482012577964,eat1.wav,fetch15.wav
eat,fetch,0.011124640372487846,eat1.wav,fetch16.wav
eat,fetch,0.014312935086815096,eat1.wav,fetch17.wav
eat,fetch,0.0100682146951072,eat1.wav,fetch18.wav
eat,fetch,0.010493100187688988,eat1.wav,fetch19.wav
eat,fetch,0.010396729856649555,eat1.wav,fetch2.wav
eat,fetch,0.010113449794822637,eat1.wav,fetch20.wav
eat,fetch,0.012167207972688686,eat1.wav,fetch3.wav
eat,fetch,0.01124629851908815,eat1.wav,fetch4.wav
eat,fetch,0.010074252444849599,eat1.wav,fetch5.wav
eat,fetch,0.009307577078960011,eat1.wav,fetch6.wav
eat,fetch,0.011196545285359457,eat1.wav,fetch7.wav
eat,fetch,0.010029047494892395,eat1.wav,fetch8.wav
eat,fetch,0.01143628826808544,eat1.wav,fetch9.wav
eat,lay,0.012847667251200168,eat1.wav,lay1.wav
eat,lay,0.010642370772860189,eat1.wav,lay10.wav
eat,lay,0.011467935375441583,eat1.wav,lay11.wav
eat,lay,0.011805176575269777,eat1.wav,lay12.wav
eat,lay,0.013214680035788472,eat1.wav,lay13.wav
eat,lay,0.011805394990155524,eat1.wav,lay14.wav
eat,lay,0.010127729238017113,eat1.wav,lay15.wav
eat,lay,0.010402533981081836,eat1.wav,lay16.wav
eat,lay,0.009954247440867064,eat1.wav,lay17.wav
eat,lay,0.008928559483639666,eat1.wav,lay18.wav
eat,lay,0.01128466766609219,eat1.wav,lay19.wav
eat,lay,0.013042842156806084,eat1.wav,lay2.wav
eat,lay,0.01097151445712858,eat1.wav,lay20.wav
eat,lay,0.011700963342462987,eat1.wav,lay3.wav
eat,lay,0.009718318467754769,eat1.wav,lay4.wav
eat,lay,0.011427203829084956,eat1.wav,lay5.wav
eat,lay,0.01144293144566189,eat1.wav,lay6.wav
eat,lay,0.010939050687283337,eat1.wav,lay7.wav
eat,lay,0.01097723044990171,eat1.wav,lay8.wav
eat,lay,0.012749977392970829,eat1.wav,lay9.wav
eat,name,0.01203270457341385,eat1.wav,name1.wav
eat,name,0.01038158482858304,eat1.wav,name10.wav
eat,name,0.018633032388869084,eat1.wav,name11.wav
eat,name,0.016540845167184414,eat1.wav,name12.wav
eat,name,0.012481267956360852,eat1.wav,name13.wav
eat,name,0.009752603579328178,eat1.wav,name14.wav
eat,name,0.01600887644390328,eat1.wav,name15.wav
eat,name,0.011294632794558071,eat1.wav,name16.wav
eat,name,0.014262962553367151,eat1.wav,name17.wav
